Wavelength(nm)	n	k
221	1.32093	2.430308
221.43	1.36	2.75
223.42	1.3706	2.8063
225.45	1.36	2.89
227.52	1.3494	2.9963
229.63	1.36	3.12
231.78	1.43	3.2588
233.96	1.53	3.4
236.19	1.6363	3.5294
238.46	1.77	3.65
240.78	1.96	3.765
243.14	2.16	3.86
245.54	2.3169	3.9125
248	2.48	3.95
250.51	2.685	4.0019
253.06	2.92	4.04
255.67	3.1975	4.0556
258.33	3.48	4.02
261.05	3.7388	3.8969
263.83	3.96	3.7
266.67	4.1225	3.4038
269.57	4.22	3.09
272.53	4.225	2.8288
275.56	4.18	2.63
278.65	4.1094	2.5463
281.82	4.04	2.52
285.06	4.01	2.5063
288.37	4.01	2.52
291.76	4.0356	2.5719
295.24	4.11	2.63
298.8	4.2681	2.6738
302.44	4.47	2.68
306.17	4.6906	2.6094
310	4.92	2.49
313.92	5.1606	2.3613
317.95	5.35	2.15
322.08	5.4219	1.738
326.32	5.39	1.3
330.67	5.2094	0.9874
335.14	4.99	0.752
339.73	4.845	0.6128
344.44	4.72	0.519
349.3	4.5944	0.4183
354.29	4.48	0.334
359.42	4.3856	0.2778
364.71	4.3	0.233
370.15	4.2163	0.1812
375.76	4.13	0.139
381.54	4.0294	0.1213
387.5	3.93	0.115
393.65	3.845	0.1132
400	3.77	0.113
406.56	3.7052	0.1107
413.33	3.6493	0.1024
420.34	3.6013	0.0804
427.59	3.5603	0.053
435.09	3.5253	0.0234
442.86	3.4955	0
450.91	3.4699	0.0033
459.26	3.4475	0
467.92	3.4274	0
476.92	3.4088	0
486.27	3.3905	0
496	3.3718	0
506.12	3.3516	0
516.67	3.329	0
527.66	3.3013	0
539.13	3.273	0
551.11	3.2481	0
563.64	3.225	0
576.74	3.2034	0
590.48	3.183	0
604.88	3.1634	0
620	3.145	0
635.9	3.128	0
652.63	3.112	0
670.27	3.0966	0
688.89	3.082	0
708.57	3.0686	0
729.41	3.056	0
751.52	3.0438	0
775	3.032	0
800	3.0208	0
826.67	3.01	0
855.17	2.9997	0
885.71	2.99	0
918.52	2.9813	0
953.85	2.973	0
992	2.9648	0
1033.33	2.957	0
1078.26	2.9498	0
1127.27	2.943	0
1180.95	2.9363	0
1240	2.93	0
1305.26	2.9243	0
1377.78	2.919	0
1458.82	2.9138	0
1550	2.909	0
1653.33	2.9048	0
1771.43	2.901	0
1907.69	2.8974	0
2066.67	2.894	0
2254.55	2.8909	0
2480	2.888	0
